content,wording,keyword_overlap,summary_lengths,vocab_size,Average_sentence_lengths_ratio,objectivity,Semantic_similarity,flesch_reading_ease,spell_errors
0.205682506482641,0.380537638762288,4,43,36,1.075,0.835,0.8541576425698272,1.1361792203210443,2
-0.548304076980462,0.506755353548534,5,25,19,1.7857142857142858,0.947,0.8892450752414772,1.3192934782608696,0
3.12892846350062,4.23122555224945,19,177,119,2.0113636363636362,0.816,0.8773613081319898,0.9060890239070136,3
-0.210613934166593,-0.471414826967448,3,18,16,1.2272727272727273,1.0,0.7060028206138442,0.9445251618016116,4
3.27289414977436,3.21975651022738,12,151,101,1.0785714285714287,0.898,0.866759959009338,1.1504674545775269,11
0.205682506482641,0.380537638762288,1,31,24,2.2142857142857144,0.961,0.8548887090807913,1.1326992753623188,0
0.205682506482641,0.380537638762288,4,44,34,1.5,0.96,0.8580833638727902,0.846651697265883,3
-0.878888575477238,-0.966329824896367,0,27,22,1.9285714285714286,1.0,0.9144722701366153,1.237469806763285,1
-0.210613934166593,-0.471414826967448,7,29,21,0.9666666666666666,0.579,0.8522371265681956,1.0838538413491565,0
-0.970236693352702,-0.417058297304168,3,20,18,2.0,0.544,0.6083055700873943,1.0501249219237976,2
-1.54716321678788,-1.46124482282529,3,16,13,2.181818181818182,1.0,0.8085112024088076,1.1274600449082024,2
1.21654651683248,1.16691380031605,7,70,52,1.6666666666666665,0.92,0.9372764801467621,1.3141606280193237,2
-0.0661115030294547,-0.715082996363196,11,46,39,1.5681818181818183,0.813,0.8408935820597904,0.8953903051116102,0
-0.387791203829632,-0.584181287616185,13,50,36,5.0,0.64,0.7851271819040091,0.9683010618363521,1
0.205682506482641,0.380537638762288,5,42,34,1.4,1.0,0.8214280712303956,1.3445052037396366,3
-1.23628174790795,-0.285223272398717,4,25,21,1.7857142857142858,0.857,0.8071910134748611,1.171044685990338,2
-0.523082081275729,-0.40749053426627,3,27,24,3.681818181818182,0.965,0.814377211802806,0.6090344736494518,7
2.44387664644393,1.37701297759911,8,106,71,3.0285714285714285,0.913,0.956597703438205,1.3248792270531402,9
0.567974905138678,0.969062430405462,8,51,40,1.7,0.788,0.8233263464574307,0.9571352972305521,4
0.0888824040334871,-0.594710121694779,7,34,28,1.1333333333333333,0.544,0.7951942522997579,0.9423797626483447,0
-0.910596475636499,-0.0817694380946405,3,19,17,0.95,1.0,0.8173558043790002,1.3175163168107251,2
-0.687287542029713,-0.460885992888853,6,35,32,3.5,0.735,0.8327742155824959,0.429419113054341,6
-1.54716321678788,-1.46124482282529,4,20,14,2.0,0.575,0.7990014571381014,1.0687070580886944,2
-0.382272237741744,-1.79549080344932,34,150,96,2.6785714285714284,0.893,0.9647949888172563,1.1133756038647344,2
1.43949854054862,0.620322317058425,8,79,55,0.7694805194805195,0.884,0.8420122513404262,1.0630035662395987,0
-0.382272237741744,-1.79549080344932,7,42,35,6.0,0.942,0.8963314511246497,0.471316425120773,1
-0.382272237741744,-1.79549080344932,27,92,77,1.3939393939393938,0.919,0.9060564989444556,0.9812442213710212,1
-1.11420237962644,0.594410744717903,3,21,19,1.4318181818181819,0.907,0.8395036470400915,0.86144498745212,2
1.19964242006474,1.07890647099528,12,78,54,1.56,0.653,0.7634257837495316,1.0913491567770142,9
-0.153454049433642,0.168544074280091,5,46,43,3.1363636363636367,0.809,0.8779687121908217,0.9173160744947828,3
-1.54716321678788,-1.46124482282529,4,42,33,1.9090909090909092,0.886,0.8113308514378155,0.79170519085986,0
0.814316930077083,0.54016377748168,13,99,66,1.9285714285714286,0.981,0.9163689355166987,0.9047681944260997,2
-1.26421406546489,-1.50507251840997,6,16,15,1.6,0.716,0.6577582925045657,1.005309181761399,0
-0.8619844787095,-0.878322495575601,4,24,18,0.8181818181818182,0.902,0.7732638844133115,1.1612732796196013,6
0.675870209891233,0.340323303670616,10,60,50,4.285714285714286,0.846,0.9627089383083733,0.8544685990338166,3
